codigo_do_usuario,criador,data_recebido,data_de_perda,data_de_ganho,tipo_de_venda,passagem,canal_de_aquisicao,docs_italiano,parente_italiano
14444,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14445,automacao,2023-06-25,2023-07-03,,1venda - site,nao,,tenho todos os documentos,nao informado
14446,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14447,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14448,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14449,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14450,automacao,2023-06-25,2023-07-10,,1venda - site,Sim,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14451,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14452,automacao,2023-06-26,2023-07-03,,1venda - site,nao,midia organica,nenhum e nao sei por onde comecar,nao informado
14453,automacao,2023-06-26,2023-07-01,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14454,automacao,2023-06-26,2023-07-19,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14455,automacao,2023-06-26,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14457,automacao,2023-06-26,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14458,automacao,2023-06-26,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14459,automacao,2023-06-26,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14460,automacao,2023-06-26,2023-06-26,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14462,automacao,2023-06-26,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
